"","seamount","Biota > Animalia > Bryozoa > Indian Ocean branching bryozoan msp4","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > Actiniaria > Other anemones > DIO Actinoscyphia rugose","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > Actiniaria > Other anemones > DIO purple circle msp55","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > Actiniaria > Other anemones > DIO small pink msp48","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > Actiniaria > Other anemones > DIO thin purple msp47","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Antipatharia > DIO Antipatharia orange bushy msp.9","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Antipatharia > DIO antipatharian white thin","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Antipatharia > Schizopathidae > DIO Antipatharia msp 9","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Scleractinia > Colonial > DIO yellow scleractinian","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Scleractinia > Colonial > SM1138 Solenosmilia variabilis","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Scleractinia > DIO pink scleractinian","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Acanthogorgiidae > DIO Acanthogorgia soft yellow fan","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Acanthogorgiidae > DIO Acanthogorgia white msp3","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Acanthogorgiidae > SM1388 Acanthogorgia msp1","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > DIO purple fan","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > DIO soft yellow fan","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Plexauridae > Plexauridae  msp3 yellow fan","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Primnoidae > DIO Narella valentine","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Primnoidae > SM697 Narella pauciflora","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Pennatuloidea > Pennatulidae > DIO Pennatulidae pink","Biota > Animalia > Cnidaria > Hydrozoa > Stylasteridae > Indian Ocean stylasterid irregular","Biota > Animalia > Cnidaria > Hydrozoa > Stylasteridae > Indian Ocean stylasterid regular msp4","Biota > Animalia > Echinodermata > Crinoidea > Stalked crinoids > DIO brown msp.3","Biota > Animalia > Echinodermata > Crinoidea > Stalked crinoids > DIO yellow msp2","Biota > Animalia > Porifera > Cup-like > Cups > DIO Porifera cup msp75","Biota > Animalia > Porifera > Cup-like > Cups > DIO bumpy cup msp80","Biota > Animalia > Porifera > Cup-like > Cups > SM889 Chonelasma choanoides","Biota > Animalia > Porifera > Cup-like > Tube-like forms > SM936 Euplectellidae","Biota > Animalia > Porifera > Massive > Balls > DIO Small white ball, one hole msp79","Biota > Animalia > Porifera > Massive > DIO Farreidae","Biota > Animalia > Bryozoa > DIO Bryozoan brown branching msp5","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > Actiniaria > Flytrap > indian ocean msp2","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > Actiniaria > Other anemones > DIO peach pink msp45","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > Actiniaria > Other anemones > DIO small yellow msp46","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > Actiniaria > Other anemones > DIO unknown msp50","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > Actiniaria > Other anemones > DIO unknown msp52","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > Actiniaria > Other anemones > DIO unknown msp53","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > Actiniaria > Other anemones > DIO yellow_base msp49","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > Actiniaria > Other anemones > SM70 Liponema msp1","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > DIO zoantharia yellow","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > Zoantharia > SM1220 Zoantharia msp8","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > Zoantharia > SM1225 Epizoanthus paguriphilus","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Scleractinia > Colonial > DIO Goniocorella dumosa","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Acanthogorgiidae > DIO Acanthogorgia  red msp.2","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Chrysogorgiidae > Chrysogorgia pink msp7","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Chrysogorgiidae > Chrysogorgia yellow msp 8","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Chrysogorgiidae > DIO chrysogorgia pink bush msp10","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Coralliidae > DIO pink anthomastus msp.5","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Coralliidae > DIO pink corallium msp.4","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Coralliidae > DIO white anthomastus msp.6","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Isididae > Isididae msp13","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Primnoidae > DIO Primnoides flagellum","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Primnoidae > DIO Primnoides msp7","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Primnoidae > DIO Primnoides pink bottlebrush msp6","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Primnoidae > DIO Primnoides yellow bottlebrush msp5","Biota > Animalia > Cnidaria > Hydrozoa > DIO unknown hydroid","Biota > Animalia > Cnidaria > Hydrozoa > msp1 growing on coral","Biota > Animalia > Porifera > Crust-like > Encrusting > Pale > SM971 Porifera White Encrusting","Biota > Animalia > Porifera > Crust-like > Encrusting > Yellow > SM883 Demospongiae msp3","Biota > Animalia > Porifera > Crust-like > Encrusting > Yellow > SM968 Porifera Yellow Encrusting","Biota > Animalia > Porifera > Cup-like > Cups > DIO Axinella msp71","Biota > Animalia > Porifera > Cup-like > Cups > DIO Porifera cup beige msp82","Biota > Animalia > Porifera > Cup-like > Cups > DIO Porifera cup msp72","Biota > Animalia > Porifera > Cup-like > Cups > DIO Porifera cup msp73","Biota > Animalia > Porifera > Cup-like > Cups > DIO Porifera cup msp74","Biota > Animalia > Porifera > Cup-like > Cups > DIO Porifera cup msp76","Biota > Animalia > Porifera > Cup-like > Cups > DIO Porifera cup msp77","Biota > Animalia > Porifera > Cup-like > Cups > DIO Porifera cup msp81","Biota > Animalia > Porifera > Cup-like > Tube-like forms > DIO bumpy tube","Biota > Animalia > Porifera > Cup-like > Tube-like forms > DIO white tubes msp66","Biota > Animalia > Porifera > Erect > Stalked > DIO stalked msp8","Biota > Animalia > Porifera > Erect > Stalked > DIO stalked msp9","Biota > Animalia > Porifera > Erect > Stalked > DIO white long cone msp6","Biota > Animalia > Porifera > Erect > Stalked > DIO white msp7","Biota > Animalia > Porifera > Erect > Three-dimensional Branching > DIO Sarostegia oculata","Biota > Animalia > Porifera > Erect > Two-dimensional lamellate > DIO Small ears","Biota > Animalia > Porifera > Erect > Two-dimensional lamellate > DIO chunky white msp59","Biota > Animalia > Porifera > Erect > Two-dimensional lamellate > DIO msp 61","Biota > Animalia > Porifera > Erect > Two-dimensional lamellate > DIO msp60","Biota > Animalia > Porifera > Massive > Balls > DIO beige ball msp80","Biota > Animalia > Porifera > Massive > Balls > DIO irregular shaped ball msp76","Biota > Animalia > Porifera > Massive > Balls > DIO large white ball msp75","Biota > Animalia > Porifera > Massive > Balls > DIO porous white msp76","Biota > Animalia > Porifera > Massive > Balls > DIO small white ball, no hole msp78","Biota > Animalia > Porifera > Massive > Balls > DIO two hole balls msp77","Biota > Animalia > Porifera > Massive > Balls > DIO white fuzzy ball msp74","Biota > Animalia > Porifera > Massive > Balls > DIO yellow ball msp 74","Biota > Animalia > Porifera > Massive > DIO Hexactinellida white branching msp75","Biota > Animalia > Porifera > Massive > DIO barrel sponge","Biota > Animalia > Porifera > Massive > DIO white bunched folds msp74","Biota > Animalia > Porifera > Massive > DIO white small pores msp76","Biota > Animalia > Porifera > Massive > SM891 Aphrocallistes","Biota > Animalia > Bryozoa > Indian ocean mesh bryozoan msp3","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Anemones and anemone-like > DIO white zoanthids","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Antipatharia > Antipatharia map.7","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Antipatharia > DIO antipatharia purple fan","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Antipatharia > DIO antipatharian","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Antipatharia > DIO antipatharian pink fluffy unbranched","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Antipatharia > Schizopathidae > SM125 cf. Bathypathes  msp.1","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > DIO pale purple whispy","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > DIO unknown regular fan","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Isididae > SM764 Isididae msp9","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Plexauridae > DIO white soft fan","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Primnoidae > DIO Primnoeides sertularoides","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > DIO small encrusting red bunch","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > DIO unknown yellow bush","Biota > Animalia > Cnidaria > Hydrozoa > DIO unknown hydroid 3","Biota > Animalia > Cnidaria > Hydrozoa > Stylasteridae > DIO purple stylasterid","Biota > Animalia > Porifera > Crust-like > Encrusting > Pale > SM879 Porifera  encrusting msp 19","Biota > Animalia > Porifera > Crust-like > Encrusting > Pale > SM882 Demospongiae msp8","Biota > Animalia > Porifera > Crust-like > Encrusting > Yellow > SM885 Demospongiae msp4","Biota > Animalia > Porifera > Erect > Carnivorous > DIO carnivorous sponge","Biota > Animalia > Porifera > Erect > Stalked > DIO thick bumpy stalked cup","Biota > Animalia > Porifera > Erect > Two-dimensional lamellate > DIO folding white sponge melville","Biota > Animalia > Porifera > Erect > Two-dimensional lamellate > DIO soft folding white sponge melville","Biota > Animalia > Porifera > Erect > Two-dimensional lamellate > DIO white elephant ear sponge","Biota > Animalia > Porifera > Erect > Two-dimensional lamellate > DIO yellow folding plate","Biota > Animalia > Porifera > Erect > Two-dimensional lamellate > DIO yellow small ear sponge","Biota > Animalia > Porifera > Massive > DIO msp77","Biota > Animalia > Porifera > Massive > DIO white chunk","Biota > Animalia > Porifera > Massive > DIO white massive","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Antipatharia > DIO Antipatharia thin fan","Biota > Animalia > Cnidaria > Anthozoa > Hexacorallia > Antipatharia > DIO Antipatharian purple bush","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > DIO blue-green soft fan","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Plexauridae > DIO pale purple soft fan","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Plexauridae > DIO plexuridae dark base","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Plexauridae > DIO sappier deep purple fan","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Plexauridae > SM647 Plexauridae msp4","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Primnoidae > DIO feather bunch","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > Alcyonacea > Primnoidae > DIO purple whispy","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > DIO blue yellow fan","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > DIO purple feather bunch","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > DIO purple whispy bush","Biota > Animalia > Cnidaria > Anthozoa > Octocorallia > DIO skeletal tangly fans","Biota > Animalia > Cnidaria > Hydrozoa > DIO unknown hydroid msp5","Biota > Animalia > Porifera > Massive > Balls > DIO Spiky white ball","Biota > Cnidaria > Anemones and anemone-like > Other anemones","Biota > Cnidaria > Anemones and anemone-like > Zoanthids"
"1","atlantis_biigle_feb/8.atlantis_50m_transects",15,6,1,8,1,3,1,1,1,10,10,1,2,2,1,20,3,3,4,1,34,10,16,1,2,6,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","coral_biigle_feb/8.coral_biigle_50m_transects",9,1,0,8,17,2,0,0,0,0,0,0,4,0,0,0,13,12,0,0,15,4,0,5,12,38,3,45,9,301,3,2,3,1,1,1,1,3,1,6,3,2,14,5,15,88,6,8,1,13,6,53,50,47,117,7,2,1,5,1,14,2,13,2,8,8,11,4,2,1,2,1,15,10,7,18,26,8,28,3,33,6,17,26,3,22,46,8,2,28,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","melville_biigle_feb/8.melville_biigle_50m_transects",1,0,0,0,2,0,0,0,0,19,0,524,1,0,7,0,38,0,0,0,63,24,2,0,0,3,0,15,6,1,0,0,0,0,0,0,0,0,1,5,37,0,0,6,3,4,0,0,0,0,0,58,16,0,0,3,0,0,15,0,1,0,0,14,0,0,0,0,1,0,0,0,1,7,69,1,19,0,0,0,3,0,0,8,2,0,0,0,1,2,0,0,6,5,56,2,1,1,1,2,4,2,3,23,2,31,1,25,8,3,20,1,2,209,7,69,9,5,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","sapmer_biigle_feb/8.sapmer_50m_transects",2,0,0,0,0,1,0,0,0,0,0,4,1,0,9,0,13,4,2,10,12,5,0,0,0,0,0,2,3,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,9,1,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,1,1,15,6,7,3,1,2,41,7,1,12,8,1,15,2,2
